family,n,seed,panel,tau,w,accumulate,steps,triggers,subs,fallbacks,scanned,trigger_pct,sub_pct,fallback_pct,sub_success_given_trigger_pct,avg_scanned_per_step,max_mult,growth,residual,finite,time_s
uniform,256,0,32,1.01,6,fp32,256,24,22,2,32,9.375,8.59375,0.78125,91.66666666666667,0.125,0.99560546875,10.78125,0.0012813706487249418,True,0.018362895003519952
uniform,256,0,32,1.001,8,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.9990234375,11.1953125,0.001291773615004783,True,0.02343022098648362
uniform,256,0,32,1.005,6,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.99462890625,11.4921875,0.001250256643788541,True,0.023912136006401852
uniform,256,0,32,1.005,4,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.99462890625,11.4921875,0.001250256643788541,True,0.02398972399532795
uniform,256,0,32,1.01,8,fp32,256,24,22,2,34,9.375,8.59375,0.78125,91.66666666666667,0.1328125,0.99560546875,10.78125,0.0012813706487249418,True,0.02363965701078996
uniform,256,0,32,1.01,4,fp32,256,24,22,2,30,9.375,8.59375,0.78125,91.66666666666667,0.1171875,0.99560546875,10.78125,0.0012813706487249418,True,0.023793487023795024
uniform,256,0,32,1.005,16,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.99462890625,11.4921875,0.001250256643788541,True,0.023897653998574242
uniform,256,0,32,1.01,12,fp32,256,18,18,0,31,7.03125,7.03125,0.0,100.0,0.12109375,0.98974609375,11.375,0.0012872195435150353,True,0.02405250698211603
uniform,256,0,32,1.001,6,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.9990234375,11.1953125,0.001291773615004783,True,0.02439866799977608
uniform,256,0,32,1.01,1,fp32,256,16,13,3,16,6.25,5.078125,1.171875,81.25,0.0625,0.9990234375,12.7421875,0.0013120650462491213,True,0.024338151997653767
uniform,256,0,32,1.005,12,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.99462890625,11.4921875,0.001250256643788541,True,0.024373235006351024
uniform,256,0,32,1.001,1,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.9990234375,11.1953125,0.001291773615004783,True,0.026571468013571575
uniform,256,0,32,1.01,2,fp32,256,26,22,4,28,10.15625,8.59375,1.5625,84.61538461538461,0.109375,1.0,14.1328125,0.0013200952800952606,True,0.02351894197636284
uniform,256,0,32,1.001,4,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.9990234375,11.1953125,0.001291773615004783,True,0.02655008900910616
uniform,256,0,32,1.005,1,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.99462890625,11.4921875,0.001250256643788541,True,0.025951205985620618
uniform,256,0,32,1.001,2,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.9990234375,11.1953125,0.001291773615004783,True,0.027273682004306465
uniform,256,0,32,1.001,16,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.9990234375,11.1953125,0.001291773615004783,True,0.026536085992120206
uniform,256,0,32,1.001,12,fp32,256,6,6,0,6,2.34375,2.34375,0.0,100.0,0.0234375,0.9990234375,11.1953125,0.001291773615004783,True,0.026739703986095265
