schedule,family,method,n,seed,status_host,status_fused,digest_host,digest_fused,wall_ms_host,wall_ms_fused,differing_fields,equivalent
blocked_panel_local,uniform,pp,128,7,completed,completed,575c52641ec45596,575c52641ec45596,10.900228,6.190955,,True
blocked_panel_local,uniform,pp,128,20260823,completed,completed,eaf00ff21f0ad382,eaf00ff21f0ad382,10.736452,6.130189,,True
blocked_panel_local,uniform,pp,256,7,completed,completed,e49575132040c13b,e49575132040c13b,22.248695,12.901669,,True
blocked_panel_local,uniform,pp,256,20260823,completed,completed,028d0023bcab6aca,028d0023bcab6aca,20.382852,13.016519,,True
blocked_panel_local,uniform,pp,320,7,completed,completed,f9dd545864ccbc4e,f9dd545864ccbc4e,29.989669,17.286856,,True
blocked_panel_local,uniform,pp,320,20260823,completed,completed,d673e418046bed6c,d673e418046bed6c,25.548801,17.366093,,True
blocked_panel_local,uniform,pp,512,7,completed,completed,c74f7aabd86233c5,c74f7aabd86233c5,42.198348,28.834591,,True
blocked_panel_local,uniform,pp,512,20260823,completed,completed,13c379c9862f8e52,13c379c9862f8e52,41.595821,27.982235,,True
blocked_panel_local,uniform,dp,128,7,completed,completed,b17bd2afbe084c0c,b17bd2afbe084c0c,9.413968,6.189807,,True
blocked_panel_local,uniform,dp,128,20260823,completed,completed,fc2accf87d016b8e,fc2accf87d016b8e,9.603247,5.962958,,True
blocked_panel_local,uniform,dp,256,7,completed,completed,dcb0c3c8b3e83fd4,dcb0c3c8b3e83fd4,20.694654,13.626597,,True
blocked_panel_local,uniform,dp,256,20260823,completed,completed,c6b38ed2a8155e1c,c6b38ed2a8155e1c,20.650225,13.730178,,True
blocked_panel_local,uniform,dp,320,7,completed,completed,a4e27cc2f5426cbf,a4e27cc2f5426cbf,28.504994,18.210746,,True
blocked_panel_local,uniform,dp,320,20260823,completed,completed,c9267c17594c7474,c9267c17594c7474,26.356821,17.620528,,True
blocked_panel_local,uniform,dp,512,7,completed,completed,a958d26699836294,a958d26699836294,43.082882,29.533363,,True
blocked_panel_local,uniform,dp,512,20260823,completed,completed,f7849d2c4eb74d62,f7849d2c4eb74d62,42.823883,29.651849,,True
blocked_panel_local,uniform,gp,128,7,completed,completed,976ab582d0f6c00a,976ab582d0f6c00a,9.51568,5.952123,,True
blocked_panel_local,uniform,gp,128,20260823,completed,completed,80e219cde0b725ff,80e219cde0b725ff,9.851949,6.038357,,True
