n,method,fused_wall_ms,fused_overhead_pct,host_wall_ms,host_overhead_pct,speedup
512,PP,11.402,0.00,41.791,0.00,3.665
512,CP,11.965,4.94,233.990,459.90,19.557
512,ScaP,11.864,4.06,52.845,26.45,4.454
512,GP,12.418,8.92,42.250,1.10,3.402
512,DP,12.439,9.10,42.682,2.13,3.431
512,ScPP,12.387,8.64,41.849,0.14,3.378
512,RP,12.599,10.50,51.447,23.10,4.084
1024,PP,25.122,0.00,86.595,0.00,3.447
1024,CP,26.686,6.22,1029.779,1089.19,38.589
1024,ScaP,25.960,3.33,110.080,27.12,4.240
1024,GP,27.507,9.49,88.992,2.77,3.235
1024,DP,27.347,8.86,88.734,2.47,3.245
1024,ScPP,27.499,9.46,86.338,-0.30,3.140
1024,RP,27.760,10.50,104.235,20.37,3.755
2048,PP,73.143,0.00,196.596,0.00,2.688
2048,CP,76.423,4.48,6178.143,3042.56,80.841
2048,ScaP,74.968,2.49,250.424,27.38,3.340
2048,GP,77.984,6.62,202.760,3.14,2.600
2048,DP,78.119,6.80,203.715,3.62,2.608
2048,ScPP,79.006,8.02,197.582,0.50,2.501
2048,RP,78.307,7.06,230.204,17.09,2.940
4096,PP,284.402,0.00,496.466,0.00,1.746
4096,CP,290.845,2.27,,,
4096,ScaP,288.728,1.52,611.346,23.14,2.117
4096,GP,295.051,3.74,510.042,2.73,1.729
4096,DP,298.864,5.08,518.647,4.47,1.735
4096,ScPP,302.134,6.23,497.607,0.23,1.647
4096,RP,296.823,4.37,550.475,10.88,1.855
8192,PP,1520.787,0.00,1937.745,0.00,1.274
8192,CP,1530.040,0.61,,,
8192,ScaP,1524.679,0.26,2270.835,17.19,1.489
8192,GP,1552.100,2.06,1997.822,3.10,1.287
8192,DP,1560.867,2.64,2020.789,4.29,1.295
8192,ScPP,1571.815,3.36,1951.585,0.71,1.242
8192,RP,1546.050,1.66,2076.610,7.17,1.343
10240,PP,2745.406,0.00,3282.442,0.00,1.196
10240,CP,2761.603,0.59,,,
10240,ScaP,2753.896,0.31,3750.774,14.27,1.362
10240,GP,2789.618,1.61,3370.224,2.67,1.208
10240,DP,2807.894,2.28,3417.858,4.13,1.217
10240,ScPP,2828.168,3.01,3303.446,0.64,1.168
10240,RP,2784.485,1.42,3459.403,5.39,1.242
20480,PP,21932.187,0.00,,,
20480,CP,21943.947,0.05,,,
20480,ScaP,21905.683,-0.12,,,
20480,GP,22059.416,0.58,,,
20480,DP,22141.797,0.96,,,
20480,ScPP,22272.018,1.55,,,
20480,RP,22019.878,0.40,,,
30720,PP,75257.237,0.00,,,
30720,CP,75320.215,0.08,,,
30720,ScaP,75288.593,0.04,,,
30720,GP,75877.304,0.82,,,
30720,DP,75815.672,0.74,,,
30720,ScPP,76166.765,1.21,,,
30720,RP,75914.194,0.87,,,
40960,PP,164615.695,0.00,,,
40960,CP,164699.077,0.05,,,
40960,ScaP,164654.077,0.02,,,
40960,GP,165583.672,0.59,,,
40960,DP,165590.221,0.59,,,
40960,ScPP,166250.503,0.99,,,
40960,RP,165786.971,0.71,,,
51200,PP,301115.893,0.00,,,
51200,CP,301232.538,0.04,,,
51200,ScaP,301717.655,0.20,,,
51200,GP,302897.579,0.59,,,
51200,DP,303047.438,0.64,,,
51200,ScPP,303549.261,0.81,,,
51200,RP,302862.122,0.58,,,
61440,PP,501927.861,0.00,,,
61440,CP,502264.471,0.07,,,
61440,ScaP,501882.119,-0.01,,,
61440,GP,503629.661,0.34,,,
61440,DP,504513.475,0.52,,,
61440,ScPP,505513.685,0.71,,,
61440,RP,504900.903,0.59,,,
