method,search_mode,abort_check_stride,schedule,panel_width,family,n,seed,input_fingerprint,repetition,tau,window,status,factor_wall_ms,factor_cuda_ms,reconstruction_kind,reconstruction_residual,growth_factor,max_multiplier,nonfinite_count,row_swaps,column_swaps,dp_lookahead_accepts,dp_fallbacks,gp_near_ties,gp_second_choices,scap_current,scap_middle,scap_last,rp_iterations,rp_failures,pivot_digest,_source
PP,host,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,0,1.00999999,6,completed,48.645847,48.6451835632,sampled_fp64_32x32,0.0188410265691,20.5,1,0,506,0,0,0,0,0,0,0,0,0,0,13c379c9862f8e52,search_cost_runs.csv
PP,host,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,1,1.00999999,6,completed,48.499804,48.4991378784,sampled_fp64_32x32,0.0188410265691,20.5,1,0,506,0,0,0,0,0,0,0,0,0,0,13c379c9862f8e52,search_cost_runs.csv
PP,host,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,2,1.00999999,6,completed,48.434963,48.4346237183,sampled_fp64_32x32,0.0188410265691,20.5,1,0,506,0,0,0,0,0,0,0,0,0,0,13c379c9862f8e52,search_cost_runs.csv
PP,fused_device,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,0,1.00999999,6,completed,11.848513,11.8487043381,sampled_fp64_32x32,0.0188410265691,20.5,1,0,506,0,0,0,0,0,0,0,0,0,0,13c379c9862f8e52,search_cost_runs.csv
PP,fused_device,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,1,1.00999999,6,completed,11.846736,11.8466558456,sampled_fp64_32x32,0.0188410265691,20.5,1,0,506,0,0,0,0,0,0,0,0,0,0,13c379c9862f8e52,search_cost_runs.csv
PP,fused_device,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,2,1.00999999,6,completed,11.874913,11.8743362427,sampled_fp64_32x32,0.0188410265691,20.5,1,0,506,0,0,0,0,0,0,0,0,0,0,13c379c9862f8e52,search_cost_runs.csv
DP,host,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,0,1.00999999,6,completed,44.175487,44.1747207642,sampled_fp64_32x32,0.0161679044541,22.640625,0.99755859375,0,507,42,42,2,0,0,0,0,0,0,0,f7849d2c4eb74d62,search_cost_runs.csv
DP,host,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,1,1.00999999,6,completed,42.75187,42.7514572144,sampled_fp64_32x32,0.0161679044541,22.640625,0.99755859375,0,507,42,42,2,0,0,0,0,0,0,0,f7849d2c4eb74d62,search_cost_runs.csv
DP,host,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,2,1.00999999,6,completed,42.682026,42.682849884,sampled_fp64_32x32,0.0161679044541,22.640625,0.99755859375,0,507,42,42,2,0,0,0,0,0,0,0,f7849d2c4eb74d62,search_cost_runs.csv
DP,fused_device,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,0,1.00999999,6,completed,12.499198,12.4989442825,sampled_fp64_32x32,0.0161679044541,22.640625,0.99755859375,0,507,42,42,2,0,0,0,0,0,0,0,f7849d2c4eb74d62,search_cost_runs.csv
DP,fused_device,0,blocked_panel_local,64,uniform,512,20260823,7f61f5c8b0307183,1,1.00999999,6,completed,12.486942,12.4876804352,sampled_fp64_32x32,0.0161679044541,22.640625,0.99755859375,0,507,42,42,2,0,0,0,0,0,0,0,f7849d2c4eb74d62,search_cost_runs.csv
