method,n,panel_width,runs,time_ms_median,overhead_vs_pp_median_pct,residual_median,residual_min,residual_max,max_multiplier,evidence_tier
PP,128,64,18,8.7393415,0.0,0.008090154113144999,0.00667995491576,0.0093611611519,1.0,replicated
DP,128,64,18,8.862263500000001,0.8028615281687412,0.009530932399785,0.00552320260808,0.0105514265597,0.990234375,replicated
GP,128,64,18,8.933065500000001,2.0225964874980185,0.00834043649957,0.00601792033204,0.0118519123644,1.009765625,replicated
ScaP,128,64,18,11.197169500000001,28.73598624530235,0.0077184854799099995,0.00598229096284,0.0115160839632,1.0,replicated
RP,128,64,18,11.7393275,34.79822783495432,0.006845665414685,0.00548613543449,0.00854941876605,1.0,replicated
CP,128,64,18,11.8979475,35.475984520996484,0.00608412351744,0.00538238537886,0.00742920907214,1.0,replicated
ScPP,128,64,18,8.781409499999999,0.659438199544593,0.008428980654575001,0.00645175548499,0.0111299213022,1.81640625,replicated
PP,256,64,18,18.780288499999997,0.0,0.014977250362950001,0.0116913014313,0.0189578896388,1.0,replicated
DP,256,64,18,19.113203,2.0881701789471574,0.0174140117178,0.0133191864065,0.0247722263448,0.9990234375,replicated
GP,256,64,18,19.166871999999998,1.9043760869345339,0.014142407718199999,0.0123054028802,0.0196553640708,1.009765625,replicated
ScaP,256,64,18,23.593581,25.67048379120055,0.01431067782845,0.0109449226979,0.0218186988495,1.0,replicated
RP,256,64,18,23.6551005,26.181983362930836,0.0139043885806,0.0108392381793,0.0158723687055,1.0,replicated
CP,256,64,18,35.542621499999996,89.43632383808045,0.011808930087150001,0.0102054332006,0.0141082871705,1.0,replicated
ScPP,256,64,18,18.7559435,-0.012990400076778874,0.016651479352699998,0.0134472884131,0.0228600825649,1.3974609375,replicated
PP,512,64,18,39.676359,0.0,0.01881119393965,0.0169047845255,0.0195103277874,1.0,replicated
DP,512,64,18,40.3864405,1.675243242034663,0.01872130055875,0.0161679044541,0.0216362619029,1.0,replicated
GP,512,64,18,40.419365,2.099742599509813,0.016791797672299998,0.0145333724552,0.0210124902657,1.009765625,replicated
ScaP,512,64,18,49.728618,25.255664000669455,0.01623227268105,0.0138709809252,0.0204406406265,1.0,replicated
RP,512,64,18,48.2376445,22.95599276602566,0.0156293278441,0.0141973944469,0.0190813929148,1.0,replicated
CP,512,64,18,155.09099500000002,290.702023305906,0.0137848735367,0.010329440704,0.0213720947504,1.0,replicated
ScPP,512,64,18,39.476493500000004,-0.06612574162588314,0.0169615288138,0.0153195173207,0.0179301178379,1.462890625,replicated
PP,1024,64,18,83.5343295,0.0,0.03360775499995,0.0278140598545,0.048606622375,1.0,replicated
DP,1024,64,18,86.4791965,3.123229604285538,0.033878577691249995,0.0315883230069,0.0554477861053,1.0,replicated
GP,1024,64,18,84.7709035,2.3857473583752564,0.03243278275465,0.0286751359782,0.0380347726633,1.009765625,replicated
ScaP,1024,64,18,104.8524965,25.601093718539936,0.02944397299725,0.0275251531275,0.0370701509528,1.0,replicated
RP,1024,64,18,99.581379,20.45617321051919,0.02938611238695,0.0248094848194,0.033594739507,1.0,replicated
CP,1024,64,18,880.22905,953.2319877734715,0.0276741012233,0.0189515751797,0.0351557714166,1.0,replicated
ScPP,1024,64,18,82.8618205,-0.1559875231661012,0.033047562026399996,0.0266741655068,0.0379235360762,1.4296875,replicated
PP,2048,64,18,187.246669,0.0,0.0614609476724,0.0429812074211,0.0799285354369,1.0,replicated
DP,2048,64,18,193.39232850000002,2.9840840540552027,0.0553553809807,0.0369951835348,0.0639368617558,1.0,replicated
GP,2048,64,18,196.23396150000002,2.2221744694235657,0.05698890585435,0.0503367050563,0.0669197092769,1.009765625,replicated
ScaP,2048,64,18,235.16584849999998,25.28872011242732,0.0541583646903,0.0395037852423,0.0616398945858,1.0,replicated
RP,2048,64,18,216.2608345,15.293932228874274,0.05278270543205,0.0347768468869,0.0690706959262,1.0,replicated
CP,2048,64,18,5898.2933045,3017.7772392200964,0.03965224613645,0.0290275145107,0.05491632548,1.0,replicated
ScPP,2048,64,18,186.5976865,-0.7134108017350371,0.06506283864205001,0.0573349524028,0.0792466466358,1.4765625,replicated
PP,4096,64,1,514.839945,0.0,0.119892419316,0.119892419316,0.119892419316,1.0,frontier_4k_10k
DP,4096,64,1,535.910858,4.092711376542479,0.121901884966,0.121901884966,0.121901884966,0.99951171875,frontier_4k_10k
GP,4096,64,1,532.703814,3.469790791000116,0.112500984719,0.112500984719,0.112500984719,1.009765625,frontier_4k_10k
ScaP,4096,64,1,636.869699,23.702464267802693,0.114222709119,0.114222709119,0.114222709119,1.0,frontier_4k_10k
RP,4096,64,1,574.552671,11.598308674359004,0.106429281994,0.106429281994,0.106429281994,1.0,frontier_4k_10k
ScPP,4096,64,1,515.203276,0.07057164144479433,0.108155423542,0.108155423542,0.108155423542,1.0009765625,frontier_4k_10k
PP,8192,128,1,1981.553711,0.0,0.248116386756,0.248116386756,0.248116386756,1.0,frontier_4k_10k
DP,8192,128,1,2053.82146,3.6470244838092247,0.197908326489,0.197908326489,0.197908326489,1.0,frontier_4k_10k
GP,8192,128,1,2026.450583,2.2657408553080627,0.188210315478,0.188210315478,0.188210315478,1.009765625,frontier_4k_10k
ScaP,8192,128,1,2329.584087,17.563509586846628,0.242556686979,0.242556686979,0.242556686979,1.0,frontier_4k_10k
RP,8192,128,1,2134.115185,7.699083459262335,0.256592113612,0.256592113612,0.256592113612,1.0,frontier_4k_10k
ScPP,8192,128,1,1991.549856,0.5044599570785957,0.180006588285,0.180006588285,0.180006588285,1.0,frontier_4k_10k
PP,10240,128,1,3338.585637,0.0,0.333993823657,0.333993823657,0.333993823657,1.0,frontier_4k_10k
DP,10240,128,1,3451.128219,3.370965859097419,0.372568850638,0.372568850638,0.372568850638,1.0,frontier_4k_10k
GP,10240,128,1,3401.21098,1.8758046013842566,0.258290232799,0.258290232799,0.258290232799,1.009765625,frontier_4k_10k
ScaP,10240,128,1,3807.117706,14.033849058939074,0.21797813884,0.21797813884,0.21797813884,1.0,frontier_4k_10k
RP,10240,128,1,3511.381851,5.175731066622324,0.21223881745,0.21223881745,0.21223881745,1.0,frontier_4k_10k
ScPP,10240,128,1,3350.952291,0.3704159588703071,0.285485901419,0.285485901419,0.285485901419,1.0,frontier_4k_10k
PP,20480,512,1,22308.450907,0.0,0.599414762648,0.599414762648,0.599414762648,1.0,frontier_20k
DP,20480,512,1,22750.479417,1.9814397326050948,0.538895647413,0.538895647413,0.538895647413,1.0,frontier_20k
GP,20480,512,1,22514.259521,0.9225589659182631,0.512380520326,0.512380520326,0.512380520326,1.009765625,frontier_20k
ScaP,20480,512,1,23970.698412,7.451200945908876,0.454545194676,0.454545194676,0.454545194676,1.0,frontier_20k
RP,20480,512,1,23043.950299,3.2969541231982813,0.450168587602,0.450168587602,0.450168587602,1.0,frontier_20k
ScPP,20480,512,1,22342.268925,0.15159285663080002,0.599414762648,0.599414762648,0.599414762648,1.0,frontier_20k
PP,30720,1024,1,75466.259677,0.0,0.677184648783,0.677184648783,0.677184648783,1.0,frontier_30k_40k
DP,30720,1024,1,76493.013954,1.3605474570948184,0.764741016181,0.764741016181,0.764741016181,1.0,frontier_30k_40k
GP,30720,1024,1,75972.070091,0.6702470960729956,0.890070818612,0.890070818612,0.890070818612,1.009765625,frontier_30k_40k
ScaP,30720,1024,1,78837.286345,4.4669322190183935,0.746829712763,0.746829712763,0.746829712763,1.0,frontier_30k_40k
RP,30720,1024,1,77018.661734,2.057080957297175,0.929582881392,0.929582881392,0.929582881392,1.0,frontier_30k_40k
PP,40960,1024,1,163957.1449,0.0,1.15494871866,1.15494871866,1.15494871866,1.0,frontier_30k_40k
DP,40960,1024,1,165370.749971,0.8621796091058842,1.30768835425,1.30768835425,1.30768835425,1.0,frontier_30k_40k
GP,40960,1024,1,164777.008472,0.5000474803949606,0.989920862481,0.989920862481,0.989920862481,1.009765625,frontier_30k_40k
ScaP,40960,1024,1,169389.550813,3.313308435758189,1.1500584325,1.1500584325,1.1500584325,1.0,frontier_30k_40k
RP,40960,1024,1,166010.171698,1.2521728158002121,1.09827564328,1.09827564328,1.09827564328,1.0,frontier_30k_40k
PP,51200,1024,1,301415.160799,0.0,1.26858829281,1.26858829281,1.26858829281,1.0,frontier_50k_60k
DP,51200,1024,1,303789.480113,0.7877239179695295,1.30801684203,1.30801684203,1.30801684203,1.0,frontier_50k_60k
GP,51200,1024,1,302785.488662,0.45463136604260157,2.38800425795,2.38800425795,2.38800425795,1.009765625,frontier_50k_60k
PP,61440,1024,1,501910.840075,0.0,2.06886614428,2.06886614428,2.06886614428,1.0,frontier_50k_60k
DP,61440,1024,1,505657.905954,0.7465600620301549,1.81199556639,1.81199556639,1.81199556639,1.0,frontier_50k_60k
GP,61440,1024,1,503974.812182,0.41122285916190826,3.16166848647,3.16166848647,3.16166848647,1.009765625,frontier_50k_60k
