method,schedule,panel_width,family,n,seed,input_fingerprint,repetition,tau,window,status,factor_wall_ms,factor_cuda_ms,reconstruction_kind,reconstruction_residual,growth_factor,max_multiplier,nonfinite_count,row_swaps,column_swaps,dp_lookahead_accepts,dp_fallbacks,gp_near_ties,gp_second_choices,scap_current,scap_middle,scap_last,rp_iterations,rp_failures,source_file,evidence_tier,contract_repetitions,contract_warmups
CP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,0,1.00999999,6,completed,871.061385,871.06829834,sampled_fp64_32x32,0.0269190092863,11.3197721725,1,0,1019,939,0,0,0,0,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__cp/runs.csv,replicated,3,1
CP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,1,1.00999999,6,completed,884.837372,884.842956543,sampled_fp64_32x32,0.0269190092863,11.3197721725,1,0,1019,939,0,0,0,0,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__cp/runs.csv,replicated,3,1
CP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,2,1.00999999,6,completed,919.811677,919.817871094,sampled_fp64_32x32,0.0269190092863,11.3197721725,1,0,1019,939,0,0,0,0,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__cp/runs.csv,replicated,3,1
DP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,0,1.00999999,6,completed,86.582289,86.5823669434,sampled_fp64_32x32,0.0317945847343,16.9894222945,0.99072265625,0,1018,83,83,1,0,0,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__dp/runs.csv,replicated,3,1
DP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,1,1.00999999,6,completed,86.411924,86.4121932983,sampled_fp64_32x32,0.0317945847343,16.9894222945,0.99072265625,0,1018,83,83,1,0,0,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__dp/runs.csv,replicated,3,1
DP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,2,1.00999999,6,completed,86.417858,86.4175033569,sampled_fp64_32x32,0.0317945847343,16.9894222945,0.99072265625,0,1018,83,83,1,0,0,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__dp/runs.csv,replicated,3,1
GP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,0,1.00999999,6,completed,86.832886,86.832611084,sampled_fp64_32x32,0.0286751359782,16.1432058584,1.009765625,0,1019,0,0,0,90,48,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__gp/runs.csv,replicated,3,1
GP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,1,1.00999999,6,completed,86.766859,86.7655715942,sampled_fp64_32x32,0.0286751359782,16.1432058584,1.009765625,0,1019,0,0,0,90,48,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__gp/runs.csv,replicated,3,1
GP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,2,1.00999999,6,completed,86.670743,86.6705627441,sampled_fp64_32x32,0.0286751359782,16.1432058584,1.009765625,0,1019,0,0,0,90,48,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__gp/runs.csv,replicated,3,1
PP,blocked_panel_local,64,normal,1024,20260823,bdf0ab5d1e4fe55e,0,1.00999999,6,completed,84.691997,84.6916503906,sampled_fp64_32x32,0.0307043614119,18.3433685924,1,0,1017,0,0,0,0,0,0,0,0,0,0,normal__n1024__seed20260823__blocked_panel_local__pp/runs.csv,replicated,3,1
