n,panel_width,method,family,tau,window,gpu_ms,gflops,tflops,backward_error,growth_factor,dp_accepts,dp_fallbacks,gp_near_ties,gp_second,scap_cur,scap_mid,scap_last,rp_iters
2048,64,PP,uniform,1.01,6,30.7598,186.172,0.186172,0.0247801,74.75,0,0,0,0,0,0,0,0
2048,64,DP,uniform,1.01,6,33.7003,169.928,0.169928,0.0247801,74.75,8,2040,0,0,0,0,0,0
2048,64,GP,uniform,1.01,6,31.4975,181.812,0.181812,0.0245217,104.688,0,0,205,136,0,0,0,0
2048,64,ScaP,uniform,1.01,6,40.5861,141.098,0.141098,0.0230572,59,0,0,0,0,985,830,233,0
2048,64,RP,uniform,1.01,6,95.7522,59.8067,0.0598067,0.0236138,67.6875,0,0,0,0,0,0,0,2713
2048,64,CP,uniform,1.01,6,79.2109,72.2959,0.0722959,0.020888,59.75,0,0,0,0,0,0,0,0
2048,64,ScPP,uniform,1.01,6,32.1901,177.9,0.1779,0.0242184,80.5,0,0,0,0,0,0,0,0
4096,64,PP,uniform,1.01,6,69.6749,657.525,0.657525,0,1,0,0,0,0,0,0,0,0
4096,64,DP,uniform,1.01,6,69.4344,659.802,0.659802,0,1,16,4080,0,0,0,0,0,0
4096,64,GP,uniform,1.01,6,70.091,653.622,0.653622,0,1,0,0,418,304,0,0,0,0
4096,64,ScaP,uniform,1.01,6,88.2543,519.102,0.519102,0,1,0,0,0,0,1972,1680,444,0
4096,64,RP,uniform,1.01,6,302.335,151.53,0.15153,0,1,0,0,0,0,0,0,0,5182
4096,64,CP,uniform,1.01,6,202.561,226.169,0.226169,0,1,0,0,0,0,0,0,0,0
4096,64,ScPP,uniform,1.01,6,75.7111,605.103,0.605103,0,1,0,0,0,0,0,0,0,0
8192,64,PP,uniform,1.01,6,174.508,2100.21,2.10021,0,1,0,0,0,0,0,0,0,0
8192,64,DP,uniform,1.01,6,181.141,2023.31,2.02331,0,1,11,8181,0,0,0,0,0,0
8192,64,GP,uniform,1.01,6,183.248,2000.04,2.00004,0,1,0,0,1057,819,0,0,0,0
8192,64,ScaP,uniform,1.01,6,243.331,1506.2,1.5062,0,1,0,0,0,0,3889,3429,874,0
8192,64,RP,uniform,1.01,6,1048.2,349.651,0.349651,0,1,0,0,0,0,0,0,0,9942
8192,64,CP,uniform,1.01,6,601.506,609.311,0.609311,0,1,0,0,0,0,0,0,0,0
8192,64,ScPP,uniform,1.01,6,203.664,1799.55,1.79955,0,1,0,0,0,0,0,0,0,0
10240,64,PP,uniform,1.01,6,267.216,2678.84,2.67884,0,1,0,0,0,0,0,0,0,0
10240,64,DP,uniform,1.01,6,275.214,2600.98,2.60098,0,1,8,10232,0,0,0,0,0,0
10240,64,GP,uniform,1.01,6,277.522,2579.35,2.57935,0,1,0,0,1365,1054,0,0,0,0
10240,64,ScaP,uniform,1.01,6,371.56,1926.55,1.92655,0,1,0,0,0,0,4897,4212,1131,0
10240,64,RP,uniform,1.01,6,1600.15,447.351,0.447351,0,1,0,0,0,0,0,0,0,12225
10240,64,CP,uniform,1.01,6,895.964,798.947,0.798947,0,1,0,0,0,0,0,0,0,0
10240,64,ScPP,uniform,1.01,6,309.966,2309.38,2.30938,0,1,0,0,0,0,0,0,0,0
16384,64,PP,uniform,1.01,6,617.97,4744.62,4.74462,0,1,0,0,0,0,0,0,0,0
16384,64,DP,uniform,1.01,6,638.305,4593.46,4.59346,0,1,10,16374,0,0,0,0,0,0
16384,64,GP,uniform,1.01,6,643.574,4555.86,4.55586,0,1,0,0,2127,1701,0,0,0,0
16384,64,ScaP,uniform,1.01,6,865.47,3387.79,3.38779,0,1,0,0,0,0,7743,6861,1780,0
16384,64,RP,uniform,1.01,6,3949.81,742.322,0.742322,0,1,0,0,0,0,0,0,0,19270
16384,64,CP,uniform,1.01,6,2108.63,1390.49,1.39049,0,1,0,0,0,0,0,0,0,0
16384,64,ScPP,uniform,1.01,6,737.109,3977.74,3.97774,0,1,0,0,0,0,0,0,0,0
20480,64,PP,uniform,1.01,6,1053.08,5437.98,5.43798,0,1,0,0,0,0,0,0,0,0
20480,64,DP,uniform,1.01,6,1074.78,5328.16,5.32816,0,1,11,20469,0,0,0,0,0,0
20480,64,GP,uniform,1.01,6,1086.34,5271.47,5.27147,0,1,0,0,2853,2349,0,0,0,0
20480,64,ScaP,uniform,1.01,6,1425.61,4016.97,4.01697,0,1,0,0,0,0,9739,8459,2282,0
20480,64,RP,uniform,1.01,6,6215.97,921.276,0.921276,0,1,0,0,0,0,0,0,0,23759
20480,64,CP,uniform,1.01,6,3306.35,1732.01,1.73201,0,1,0,0,0,0,0,0,0,0
20480,64,ScPP,uniform,1.01,6,1251.46,4575.95,4.57595,0,1,0,0,0,0,0,0,0,0
32768,64,PP,uniform,1.01,6,2987.14,7852.41,7.85241,0,1,0,0,0,0,0,0,0,0
32768,64,DP,uniform,1.01,6,3051.31,7687.26,7.68726,0,1,13,32755,0,0,0,0,0,0
32768,64,GP,uniform,1.01,6,3064.68,7653.73,7.65373,0,1,0,0,4861,4035,0,0,0,0
32768,64,ScaP,uniform,1.01,6,3916.74,5988.71,5.98871,0,1,0,0,0,0,15442,13911,3415,0
32768,64,RP,uniform,1.01,6,15889.7,1476.2,1.4762,0,1,0,0,0,0,0,0,0,37219
32768,64,CP,uniform,1.01,6,8504.58,2758.07,2.75807,0,1,0,0,0,0,0,0,0,0
32768,64,ScPP,uniform,1.01,6,3598.36,6518.59,6.51859,0,1,0,0,0,0,0,0,0,0
40960,64,PP,uniform,1.01,6,5353.3,8557.89,8.55789,0,1,0,0,0,0,0,0,0,0
40960,64,DP,uniform,1.01,6,5435.23,8428.89,8.42889,0,1,9,40951,0,0,0,0,0,0
40960,64,GP,uniform,1.01,6,5448.72,8408.02,8.40802,0,1,0,0,6092,5110,0,0,0,0
40960,64,ScaP,uniform,1.01,6,6769.95,6767.1,6.7671,0,1,0,0,0,0,19474,17181,4305,0
40960,64,RP,uniform,1.01,6,25376,1805.37,1.80537,0,1,0,0,0,0,0,0,0,46270
40960,64,CP,uniform,1.01,6,13836.4,3311.04,3.31104,0,1,0,0,0,0,0,0,0,0
40960,64,ScPP,uniform,1.01,6,6402.34,7155.66,7.15566,0,1,0,0,0,0,0,0,0,0
